type,method,model,e:1(W),e:2(W),e:3(W),e:1(p),e:2(p),e:3(p),e:1(p),e:2(p),e:3(p)
age,stratigraphy,bins,NA,NA,NA,NA,NA,NA,NA,NA,NA
age,stratigraphy,acctran,8001,8804,8564,6.83341611136856e-13,4.48185501746674e-20,9.35934748171656e-18,TRUE,TRUE,TRUE
age,stratigraphy,deltran,8192,8383,8713,1.88575002285785e-14,4.19917954097857e-16,3.53525223357128e-19,TRUE,TRUE,TRUE
age,stratigraphy,random,8337,9021,8733,1.07060781809859e-15,2.67190949274625e-22,2.25479027133234e-19,TRUE,TRUE,TRUE
age,stratigraphy,proximity,8666,8494,9083,1.00779701006476e-18,4.16920534609473e-17,5.87504082888992e-23,TRUE,TRUE,TRUE
age,stratigraphy,equal.split,9379,9945,9781,3.10725200885966e-26,3.97643415021695e-33,4.80366655078731e-31,TRUE,TRUE,TRUE
age,stratigraphy,gradual.split,9623,9979,9811,4.18779870809309e-29,1.44269439331951e-33,2.02246297709582e-31,TRUE,TRUE,TRUE
age,duration,bins,NA,NA,NA,NA,NA,NA,NA,NA,NA
age,duration,acctran,9366,8674,9153,4.37532867622389e-26,8.43983848594638e-19,1.03384639244047e-23,TRUE,TRUE,TRUE
age,duration,deltran,9394,9008,8775,2.09091079956709e-26,3.66014328512495e-22,8.7017815198875e-20,TRUE,TRUE,TRUE
age,duration,random,8942,8914,8584,1.78115177995011e-21,3.45830900630468e-21,6.07529329613141e-18,TRUE,TRUE,TRUE
age,duration,proximity,8960,8975,9009,1.15982069759753e-21,8.10022710986992e-22,3.57272777720642e-22,TRUE,TRUE,TRUE
age,duration,equal.split,9923,9979,9882,7.63518764370202e-33,1.44269439331951e-33,2.55570011069089e-32,TRUE,TRUE,TRUE
age,duration,gradual.split,9974,9972,9860,1.67538242348522e-33,1.77857329758732e-33,4.86705491757051e-32,TRUE,TRUE,TRUE
age,number,bins,NA,NA,NA,NA,NA,NA,NA,NA,NA
age,number,acctran,9165,8780,8889,7.65314463558306e-24,7.76391805557117e-20,6.22948269669029e-21,TRUE,TRUE,TRUE
age,number,deltran,8868,8498,8640,1.01837272057859e-20,3.83103849979464e-17,1.78902713161745e-18,TRUE,TRUE,TRUE
age,number,random,8802,8505,8138,4.69244818370191e-20,3.30315240318436e-17,5.31779675334309e-14,TRUE,TRUE,TRUE
age,number,proximity,9148,8489,8735,1.17157530061232e-23,4.63357984755882e-17,2.15535260159225e-19,TRUE,TRUE,TRUE
age,number,equal.split,9930,9940,9860,6.20591438672476e-33,4.6131281097593e-33,4.86705491757051e-32,TRUE,TRUE,TRUE
age,number,gradual.split,9921,9950,9853,8.10055549402972e-33,3.42710713515478e-33,5.97060377034195e-32,TRUE,TRUE,TRUE
epoch,stratigraphy,bins,5056,10000,10000,1,7.68643100749026e-34,7.68643100749026e-34,FALSE,TRUE,TRUE
epoch,stratigraphy,acctran,7550,8654,6522,1.40449572584521e-09,1.31408646494747e-18,0.000603334494392628,TRUE,TRUE,TRUE
epoch,stratigraphy,deltran,7212,8149,6324,1.95999251543008e-07,4.31140128514144e-14,0.00366432576870208,TRUE,TRUE,TRUE
epoch,stratigraphy,random,7038,8388,6326,1.92331333196229e-06,3.79015762241684e-16,0.00360212286876021,TRUE,TRUE,TRUE
epoch,stratigraphy,proximity,6977,8333,6225,4.10921578857883e-06,1.16069885692246e-15,0.00831660300410444,TRUE,TRUE,TRUE
epoch,stratigraphy,equal.split,9590,9868,6804,1.04508327149644e-28,3.85195207796395e-32,3.14942148631844e-05,TRUE,TRUE,TRUE
epoch,stratigraphy,gradual.split,9840,9874,7248,8.71984248780586e-32,3.23134767742629e-32,1.19549109686255e-07,TRUE,TRUE,TRUE
epoch,duration,bins,6514,10000,9982,0.000651737318221535,7.67907376891577e-34,1.28177469689492e-33,TRUE,TRUE,TRUE
epoch,duration,acctran,8767,9203,7949,1.04404304457294e-19,2.93617235980728e-24,1.74987094874331e-12,TRUE,TRUE,TRUE
epoch,duration,deltran,8806,9301,8156,4.28061198082751e-20,2.3859662818041e-25,3.77117280206657e-14,TRUE,TRUE,TRUE
epoch,duration,random,8420,9340,7607,1.96018462909411e-16,8.64919222334661e-26,5.71936806688676e-10,TRUE,TRUE,TRUE
epoch,duration,proximity,8225,9279,7677,9.92354722427768e-15,4.21243399928387e-25,1.84889542435654e-10,TRUE,TRUE,TRUE
epoch,duration,equal.split,9867,9989,9876,3.96632283232442e-32,1.06930580584201e-33,3.04740861504589e-32,TRUE,TRUE,TRUE
epoch,duration,gradual.split,9972,9985,9895,1.77857329758732e-33,1.20548498226861e-33,1.74426891612772e-32,TRUE,TRUE,TRUE
epoch,number,bins,7259,10000,10000,1.02633634018811e-07,7.6842664017916e-34,7.68643100749026e-34,TRUE,TRUE,TRUE
epoch,number,acctran,NA,NA,NA,NA,NA,NA,NA,NA,NA
epoch,number,deltran,NA,NA,NA,NA,NA,NA,NA,NA,NA
epoch,number,random,NA,NA,NA,NA,NA,NA,NA,NA,NA
epoch,number,proximity,NA,NA,NA,NA,NA,NA,NA,NA,NA
epoch,number,equal.split,NA,NA,NA,NA,NA,NA,NA,NA,NA
epoch,number,gradual.split,NA,NA,NA,NA,NA,NA,NA,NA,NA
