type,method,model,e:1(W),e:2(W),e:3(W),e:1(p),e:2(p),e:3(p),e:1(p),e:2(p),e:3(p)
age,stratigraphy,bins,2109,8074,7640,4.90191916305366e-12,1.77705710269212e-13,3.37048288343882e-10,TRUE,TRUE,TRUE
age,stratigraphy,acctran,4611,5439,4584,1,0.851933745893024,0.929991351063168,FALSE,FALSE,FALSE
age,stratigraphy,deltran,9106,7562,7765,3.33022836739893e-23,1.16429610341647e-09,4.29249470137611e-11,TRUE,TRUE,TRUE
age,stratigraphy,random,5693,7583,7145,0.27191114971538,8.36826266112425e-10,4.82128130395249e-07,FALSE,TRUE,TRUE
age,stratigraphy,proximity,3315,4220,3729,0.00011570718081135,0.170487815614263,0.00572140012033355,TRUE,FALSE,TRUE
age,stratigraphy,equal.split,7401,6418,7292,1.34451813112836e-08,0.00159956750378508,6.46679771956836e-08,TRUE,TRUE,TRUE
age,stratigraphy,gradual.split,6876,7432,7446,1.37784904014337e-05,8.49347092349617e-09,6.88969636103323e-09,TRUE,TRUE,TRUE
age,duration,bins,2019,4195,5124,9.82919827590962e-13,0.147997619318298,1,TRUE,FALSE,FALSE
age,duration,acctran,5848,6421,4117,0.115140301186264,0.00155653441652114,0.0931829206799595,FALSE,TRUE,FALSE
age,duration,deltran,8544,7908,7807,1.43846558284471e-17,3.63187549655151e-12,2.10418062110907e-11,TRUE,TRUE,TRUE
age,duration,random,2291,5953,6719,1.09287305179491e-10,0.059843457400813,8.04417525573777e-05,TRUE,FALSE,TRUE
age,duration,proximity,4382,7181,4287,0.394055348304298,2.9821295403876e-07,0.245095656806823,FALSE,TRUE,FALSE
age,duration,equal.split,7100,6147,6628,8.69711662960805e-07,0.0152670074483131,0.000209709239016195,TRUE,TRUE,TRUE
age,duration,gradual.split,6694,7620,7471,0.00010515930316449,4.6473714736549e-10,4.72793709670633e-09,TRUE,TRUE,TRUE
age,number,bins,2755,1819,4616,1.24613016157321e-07,2.33241112510813e-14,1,TRUE,TRUE,FALSE
age,number,acctran,5751,5253,1775,0.20006738647768,1,9.92354722427768e-15,FALSE,FALSE,TRUE
age,number,deltran,8973,7643,8275,8.49799332908208e-22,3.21127340563628e-10,3.70608702237385e-15,TRUE,TRUE,TRUE
age,number,random,9377,9328,7952,3.27545442975698e-26,1.18301035386272e-25,1.65818744767756e-12,TRUE,TRUE,TRUE
age,number,proximity,3329,3793,2127,0.000134133334227343,0.00959670456931592,6.72140678654974e-12,TRUE,TRUE,TRUE
age,number,equal.split,6985,6205,5969,3.72434098474079e-06,0.00974950248730999,0.0538828555804296,TRUE,TRUE,FALSE
age,number,gradual.split,7152,7143,6473,4.39389492198413e-07,4.95059940697273e-07,0.00096242720591946,TRUE,TRUE,TRUE
epoch,stratigraphy,bins,3719,2285,7600,0.00526637831748381,9.89614149410782e-11,5.70030911287395e-10,TRUE,TRUE,TRUE
epoch,stratigraphy,acctran,343,710,3850,1.62126615741901e-29,3.17142331656687e-25,0.0149237268949387,TRUE,TRUE,TRUE
epoch,stratigraphy,deltran,4096,9025,9854,0.0818161182318388,2.42482382313172e-22,5.79892001448988e-32,FALSE,TRUE,TRUE
epoch,stratigraphy,random,733,4274,5444,5.73673087692244e-25,0.228845918649976,0.835569390537452,TRUE,FALSE,FALSE
epoch,stratigraphy,proximity,4206,9147,6488,0.157566460992842,1.20122770046552e-23,0.000835428013061411,FALSE,TRUE,TRUE
epoch,stratigraphy,equal.split,1369,4904,7275,2.18016858082831e-18,1,8.21054268537312e-08,TRUE,FALSE,TRUE
epoch,stratigraphy,gradual.split,3391,7887,7336,0.000254635203162542,5.2589951946513e-12,3.45898136724424e-08,TRUE,TRUE,TRUE
epoch,duration,bins,116,2614,9300,2.40999249250519e-32,1.67578256175925e-08,2.39906359334395e-25,TRUE,TRUE,TRUE
epoch,duration,acctran,1151,1522,5577,1.58510337396215e-20,5.84239342368756e-17,0.476848282693088,TRUE,TRUE,FALSE
epoch,duration,deltran,8115,9798,9985,8.22703394396719e-14,2.9441848227433e-31,1.20548498226861e-33,TRUE,TRUE,TRUE
epoch,duration,random,2044,6346,9690,1.5432445610461e-12,0.00303157691733664,6.41208376541649e-30,TRUE,TRUE,TRUE
epoch,duration,proximity,4604,9524,5757,1,6.38373788468151e-28,0.193623221402914,FALSE,TRUE,FALSE
epoch,duration,equal.split,4385,6347,8549,0.399707959200432,0.00300537435623344,1.29220682738048e-17,FALSE,TRUE,TRUE
epoch,duration,gradual.split,5985,8984,8466,0.0484488866126179,6.52655159200983e-22,7.51733529161508e-17,TRUE,TRUE,TRUE
epoch,number,bins,556,2096,6940,5.52951327244484e-27,3.8979901363075e-12,6.44471115435165e-06,TRUE,TRUE,TRUE
epoch,number,acctran,239,634,4028,8.52603404305554e-31,4.37532867622389e-26,0.0528250751181335,TRUE,TRUE,FALSE
epoch,number,deltran,4072,8214,9884,0.070309492253224,1.23002820295073e-14,2.40999249250519e-32,FALSE,TRUE,TRUE
epoch,number,random,739,7307,7805,6.69254607852305e-25,5.23117435145638e-08,2.17735315953674e-11,TRUE,TRUE,TRUE
epoch,number,proximity,2522,8706,2707,4.25206865621093e-09,4.13559639548353e-19,6.37628321384283e-08,TRUE,TRUE,TRUE
epoch,number,equal.split,2187,4543,8135,1.89882258825408e-11,0.794028118983897,5.63024386691684e-14,TRUE,FALSE,TRUE
epoch,number,gradual.split,3621,7450,6076,0.00226972531517291,6.48846287702336e-09,0.0257768013110175,TRUE,TRUE,TRUE
