type,method,model,e:1(W),e:2(W),e:3(W),e:1(p),e:2(p),e:3(p),e:1(p),e:2(p),e:3(p)
age,stratigraphy,bins,9368,10000,10000,4.15118573316997e-26,7.65445537304807e-34,4.90084493362033e-34,TRUE,TRUE,TRUE
age,stratigraphy,acctran,9609,9064,9606,6.1776361339942e-29,9.3680040044737e-23,6.7132985474341e-29,TRUE,TRUE,TRUE
age,stratigraphy,deltran,9542,9169,9463,3.90700118242479e-28,6.92179945061136e-24,3.32272690136858e-27,TRUE,TRUE,TRUE
age,stratigraphy,random,9698,8888,9285,5.11581967525636e-30,6.37737792605121e-21,3.60851596597917e-25,TRUE,TRUE,TRUE
age,stratigraphy,proximity,9513,8778,9339,8.60939952926347e-28,8.12642494783919e-20,8.87818325730928e-26,TRUE,TRUE,TRUE
age,stratigraphy,punctuated,10000,9942,9990,7.68643100749026e-34,4.34712926428867e-33,1.03772078363168e-33,TRUE,TRUE,TRUE
age,stratigraphy,gradual,9998,9906,9996,8.1623741488237e-34,1.26153577447723e-32,8.66758199397833e-34,TRUE,TRUE,TRUE
age,duration,bins,6521,10000,10000,0.000609194621745779,7.67777614450737e-34,7.51173685879282e-34,TRUE,TRUE,TRUE
age,duration,acctran,9136,8480,9198,1.58074653017575e-23,5.60156584268976e-17,3.33225356451802e-24,TRUE,TRUE,TRUE
age,duration,deltran,9584,8672,8902,1.23327994645552e-28,8.8228570864853e-19,4.58929815546329e-21,TRUE,TRUE,TRUE
age,duration,random,9559,8472,9131,2.45297348333254e-28,6.6278615895417e-17,1.79043300460985e-23,TRUE,TRUE,TRUE
age,duration,proximity,9592,8781,9303,9.8891747984245e-29,7.58870732358137e-20,2.26547874802972e-25,TRUE,TRUE,TRUE
age,duration,punctuated,9977,9909,9949,1.53164429001441e-33,1.15469949540585e-32,3.53057998964645e-33,TRUE,TRUE,TRUE
age,duration,gradual,9998,9830,9979,8.1623741488237e-34,1.16612090651802e-31,1.44269439331951e-33,TRUE,TRUE,TRUE
age,number,bins,8399,10000,10000,3.02354468934947e-16,7.68643100749026e-34,7.67302001431711e-34,TRUE,TRUE,TRUE
age,number,acctran,9599,8880,9437,8.14912632681924e-29,7.69256454348165e-21,6.66721940439351e-27,TRUE,TRUE,TRUE
age,number,deltran,9624,8784,9602,4.07292812988337e-29,7.08619336601677e-20,7.49983055325432e-29,TRUE,TRUE,TRUE
age,number,random,9506,9139,9449,1.04105348601125e-27,1.46681015874045e-23,4.8369147546402e-27,TRUE,TRUE,TRUE
age,number,proximity,9415,8907,9549,1.19813609023001e-26,4.07934228778762e-21,3.22622810909428e-28,TRUE,TRUE,TRUE
age,number,punctuated,10000,9879,10000,7.68643100749026e-34,2.79082034392823e-32,7.68643100749026e-34,TRUE,TRUE,TRUE
age,number,gradual,9999,9879,10000,7.92085209446111e-34,2.79082034392823e-32,7.68643100749026e-34,TRUE,TRUE,TRUE
epoch,stratigraphy,bins,5970,10000,10000,0.0535282186028659,7.68643100749026e-34,7.68643100749026e-34,FALSE,TRUE,TRUE
epoch,stratigraphy,acctran,4917,3589,155,1,0.00170432617773868,7.5386678134559e-32,FALSE,TRUE,TRUE
epoch,stratigraphy,deltran,4107,3373,92,0.087611381210641,0.000211873520113082,1.18927352167053e-32,FALSE,TRUE,TRUE
epoch,stratigraphy,random,4380,3471,161,0.390321504574201,0.000563772647588821,8.97725830938129e-32,FALSE,TRUE,TRUE
epoch,stratigraphy,proximity,4059,2898,165,0.0646841297703993,8.47414903648035e-07,1.008459120326e-31,FALSE,TRUE,TRUE
epoch,stratigraphy,punctuated,6873,3188,9,1.42698432521729e-05,2.87724198744458e-05,1.00706274246047e-33,TRUE,TRUE,TRUE
epoch,stratigraphy,gradual,6601,3645,48,0.000276151183042853,0.00280317946520921,3.22911271987719e-33,TRUE,TRUE,TRUE
epoch,duration,bins,3322,10000,10000,0.000124597458612397,7.68643100749026e-34,7.68643100749026e-34,TRUE,TRUE,TRUE
epoch,duration,acctran,8950,7872,3526,1.4723095068729e-21,6.83994059529482e-12,0.000953427767592074,TRUE,TRUE,TRUE
epoch,duration,deltran,8981,7776,3880,7.01419795356544e-22,3.56492675803682e-11,0.0186928387801575,TRUE,TRUE,TRUE
epoch,duration,random,9075,7617,4224,7.15227791631507e-23,4.87581404745022e-10,0.174337593198544,TRUE,TRUE,FALSE
epoch,duration,proximity,9440,8146,4001,6.15368679993587e-27,4.5656031460353e-14,0.0440954847737962,TRUE,TRUE,TRUE
epoch,duration,punctuated,9874,9263,4239,3.23134767742629e-32,6.35759247677534e-25,0.189423025781352,TRUE,TRUE,FALSE
epoch,duration,gradual,9767,9028,3926,7.17964430246807e-31,2.25448352866491e-22,0.0261494725246798,TRUE,TRUE,TRUE
epoch,number,bins,4966,10000,9995,1,7.68643100749026e-34,8.9317143428612e-34,FALSE,TRUE,TRUE
epoch,number,acctran,7786,3199,3991,3.00924207267283e-11,3.25769272498085e-05,0.0412007023677642,TRUE,TRUE,TRUE
epoch,number,deltran,7870,2072,3997,7.08319164691618e-12,2.54665896572261e-12,0.0429167276263664,TRUE,TRUE,TRUE
epoch,number,random,7441,2404,4341,7.42533371338493e-09,6.81217903410878e-10,0.322867666928965,TRUE,TRUE,FALSE
epoch,number,proximity,7569,2195,4076,1.04322575024757e-09,2.17735315953674e-11,0.0721237042574937,TRUE,TRUE,FALSE
epoch,number,punctuated,9367,3441,1087,4.26179651178403e-26,0.000420249151821775,3.54093631369856e-21,TRUE,TRUE,TRUE
epoch,number,gradual,9561,3067,1009,2.32199636809068e-28,7.01130438069655e-06,5.51536207895373e-22,TRUE,TRUE,TRUE
