type,method,model,e:1(W),e:2(W),e:3(W),e:1(p),e:2(p),e:3(p),e:1(p),e:2(p),e:3(p)
age,stratigraphy,bins,9886,9687,9818,2.27253816932009e-32,6.97777058122126e-30,1.65152677834169e-31,TRUE,TRUE,TRUE
age,stratigraphy,acctran,763,1330,1385,1.23565779917423e-24,9.21544478288285e-19,3.09238639942634e-18,TRUE,TRUE,TRUE
age,stratigraphy,deltran,97,98,117,1.37103310415191e-32,1.41203732684809e-32,2.46901258506707e-32,TRUE,TRUE,TRUE
age,stratigraphy,random,400,621,518,7.88219843908879e-29,3.09141836619051e-26,1.98175730372276e-27,TRUE,TRUE,TRUE
age,stratigraphy,proximity,113,88,135,2.19420316031937e-32,1.05077980173824e-32,4.18156239945234e-32,TRUE,TRUE,TRUE
age,stratigraphy,equal.split,324,359,309,9.50588914836022e-30,2.53463800813053e-29,6.23001467852189e-30,TRUE,TRUE,TRUE
age,stratigraphy,gradual.split,240,238,242,8.77137761130752e-31,8.28326936009275e-31,9.28802838402422e-31,TRUE,TRUE,TRUE
age,duration,bins,5334,7942,8139,1,1.98359243213834e-12,5.21748815847252e-14,FALSE,TRUE,TRUE
age,duration,acctran,1292,1113,1341,3.95176593932719e-19,6.52383750053689e-21,1.17586583709022e-18,TRUE,TRUE,TRUE
age,duration,deltran,121,286,97,2.77008183066591e-32,3.23018778297661e-30,1.36784211757188e-32,TRUE,TRUE,TRUE
age,duration,random,348,535,443,1.8617772365912e-29,3.14407466069798e-27,2.58715261537509e-28,TRUE,TRUE,TRUE
age,duration,proximity,140,115,227,4.83425431729966e-32,2.32433052673705e-32,6.00527444056116e-31,TRUE,TRUE,TRUE
age,duration,equal.split,150,202,420,6.51618146181959e-32,2.94403202516802e-31,1.37698805370684e-28,TRUE,TRUE,TRUE
age,duration,gradual.split,45,141,35,2.95061613844983e-33,5.00706266852361e-32,2.19006481988413e-33,TRUE,TRUE,TRUE
age,number,bins,6617,8977,9026,0.000234710218108369,7.72089662312253e-22,2.36667369224856e-22,TRUE,TRUE,TRUE
age,number,acctran,8165,8300,8556,3.17350066578903e-14,2.25239302960508e-15,1.11180866849495e-17,TRUE,TRUE,TRUE
age,number,deltran,7826,7966,8024,1.51893732767986e-11,1.28901870064022e-12,4.48554264469584e-13,TRUE,TRUE,TRUE
age,number,random,7676,7770,7969,1.87934342874542e-10,3.94534197038592e-11,1.22111584346159e-12,TRUE,TRUE,TRUE
age,number,proximity,7778,7860,8084,3.44629346771087e-11,8.43256261526341e-12,1.47413022907855e-13,TRUE,TRUE,TRUE
age,number,equal.split,8454,8217,8351,9.66425756914127e-17,1.16015072338596e-14,8.06299178332741e-16,TRUE,TRUE,TRUE
age,number,gradual.split,7579,7500,7292,8.91335404069261e-10,3.04086216882128e-09,6.46679771956836e-08,TRUE,TRUE,TRUE
epoch,stratigraphy,bins,9633,9348,8779,3.17014754935134e-29,7.01608025547684e-26,7.9431272128559e-20,TRUE,TRUE,TRUE
epoch,stratigraphy,acctran,8324,7532,5878,1.39161968068614e-15,1.85789677589165e-09,0.0960809343293917,TRUE,TRUE,FALSE
epoch,stratigraphy,deltran,7663,8033,8166,2.32270745142273e-10,3.80109254024114e-13,3.11314537267812e-14,TRUE,TRUE,TRUE
epoch,stratigraphy,random,7983,8215,7474,9.47929313198029e-13,1.20628725417658e-14,4.5179558567198e-09,TRUE,TRUE,TRUE
epoch,stratigraphy,proximity,7187,7951,5226,2.75065949159042e-07,1.68821195125819e-12,1,TRUE,TRUE,FALSE
epoch,stratigraphy,equal.split,7359,8167,6035,2.48288464757601e-08,3.05391999348979e-14,0.0344451157337263,TRUE,TRUE,TRUE
epoch,stratigraphy,gradual.split,7179,8431,5348,3.06339450745675e-07,1.56047052413869e-16,1,TRUE,TRUE,FALSE
epoch,duration,bins,4090,8709,4651,0.078796774783421,3.86687568021254e-19,1,FALSE,TRUE,FALSE
epoch,duration,acctran,8479,6430,7307,5.72072935226657e-17,0.0014338219805585,5.23117435145638e-08,TRUE,TRUE,TRUE
epoch,duration,deltran,7691,8198,6728,1.47005123592991e-10,1.67879232940124e-14,7.29810761275041e-05,TRUE,TRUE,TRUE
epoch,duration,random,7853,8696,6963,9.52400326281511e-12,5.17167627205574e-19,4.87657770596163e-06,TRUE,TRUE,TRUE
epoch,duration,proximity,8128,8610,7152,6.43122890645506e-14,3.45186425051567e-18,4.39389492198413e-07,TRUE,TRUE,TRUE
epoch,duration,equal.split,7921,7124,6466,2.88431531517836e-12,6.35860340744825e-07,0.00102768480767676,TRUE,TRUE,TRUE
epoch,duration,gradual.split,8261,8555,6881,4.89023691619102e-15,1.13596929343935e-17,1.29953843318555e-05,TRUE,TRUE,TRUE
epoch,number,bins,5294,9280,7473,1,4.10524223961313e-25,4.5869191311254e-09,FALSE,TRUE,TRUE
epoch,number,acctran,8620,6137,9799,2.77436958839373e-18,0.0164634372570359,2.86030936711947e-31,TRUE,TRUE,TRUE
epoch,number,deltran,7730,8252,9590,7.7144713988361e-11,5.84083044787039e-15,1.04503360238102e-28,TRUE,TRUE,TRUE
epoch,number,random,7578,6762,9190,9.05495468547602e-10,5.03157892540527e-05,4.0788226488286e-24,TRUE,TRUE,TRUE
epoch,number,proximity,8150,5663,9571,4.22980263824649e-14,0.316506332035789,1.76404488886342e-28,TRUE,FALSE,TRUE
epoch,number,equal.split,7831,4999,9465,1.39360279107141e-11,1,3.14874651802954e-27,TRUE,FALSE,TRUE
epoch,number,gradual.split,7277,5193,9041,7.98383851995627e-08,1,1.6431268820806e-22,TRUE,FALSE,TRUE
