subsets,n,obs,bs.median,2.5%,25%,75%,97.5%,model,stratigraphy,bin_type
86.3 - 83.6,33,8.2179206061,7.9749618456,7.8185890533,7.9091996148,8.0291640075,8.1181827796,equalbins,Age,stratigraphy
69.05,39,8.2146051589,8.0135107401,7.8632265885,7.9600081414,8.0549014721,8.1418093723,acctran,Age,stratigraphy
3.09,2,8.7907942791,8.7907942791,0,0,8.7907942791,8.7907942791,deltran,Age,stratigraphy
2.19,2,8.7907942791,8.7907942791,0,0,8.7907942791,8.7907942791,deltran,Age,stratigraphy
69.05,39,8.2146051589,8.0145554359,7.83569504,7.9686684825,8.0642080808,8.1303815602,random,Age,stratigraphy
2.19,2,8.7907942791,8.7907942791,0,0,8.7907942791,8.7907942791,proximity,Age,stratigraphy
2.19,2,8.7907942791,8.7907942791,0,0,8.7907942791,8.7907942791,punctuated,Age,stratigraphy
3.09,2,8.7907942791,8.7907942791,0,0,8.7907942791,8.7907942791,gradual,Age,stratigraphy
73.5 - 70,31,8.1593261965,7.9250322608,7.697322386,7.847797988,7.9811679212,8.0645379426,equalbins,Age,duration
68.25,39,8.2146051589,8.0157793489,7.8609506905,7.9683596789,8.0693803993,8.1160499993,acctran,Age,duration
68.25,39,8.2146051589,8.0047338904,7.8656106513,7.9496948385,8.0584118851,8.1123025967,deltran,Age,duration
68.25,39,8.2146051589,8.00848945,7.8392827348,7.9416399065,8.0592568018,8.1311174207,random,Age,duration
68.25,39,8.2146051589,7.9996084712,7.8471020025,7.9573324082,8.050540869,8.132038126,proximity,Age,duration
68.25,43,7.9843519667,7.8223402513,7.6341169408,7.772378575,7.8800146937,7.9728879101,punctuated,Age,duration
68.25,43,7.9882908717,7.8361215748,7.6357320771,7.7517323507,7.8877719315,7.9676385499,gradual,Age,duration
24.9053672727273 - 20.7544727272727,2,7.9492091443,7.9492091443,0,0,7.9492091443,7.9492091443,equalbins,Age,number
68.48976,39,8.2146051589,8.0144856541,7.8851273157,7.9635956154,8.0519944195,8.1141669044,acctran,Age,number
68.48976,39,8.2146051589,7.9977480734,7.8243853485,7.9624478587,8.0532408155,8.1105307428,deltran,Age,number
68.48976,39,8.2146051589,7.995023336,7.8533535734,7.9400057214,8.044469953,8.1355026442,random,Age,number
68.48976,39,8.2146051589,7.9949753442,7.8278010925,7.9558508431,8.0445045896,8.1105481912,proximity,Age,number
68.48976,43,8.021821262,7.8260915488,7.6544358248,7.763558688,7.8747021264,7.9686962074,punctuated,Age,number
68.48976,43,7.9966305874,7.8376488039,7.6408054462,7.7720226634,7.8709766511,7.9521786855,gradual,Age,number
66 - 56,27,8.1522702075,7.886167418,7.5855892961,7.8073666799,7.9535671279,8.0389517007,equalbins,Epoch,stratigraphy
83.25,34,8.1476978182,7.9139999273,7.7488149895,7.8592515936,7.967427509,8.0599748486,acctran,Epoch,stratigraphy
83.25,34,8.1417119823,7.9061437218,7.7082332658,7.8437131051,7.9653194481,8.0218750376,deltran,Epoch,stratigraphy
83.25,34,8.1417119823,7.9199013829,7.7408204295,7.8636411419,7.9668579924,8.0593842466,random,Epoch,stratigraphy
83.25,34,8.1417119823,7.9086318464,7.6755046517,7.8290008289,7.9455347475,8.0344848646,proximity,Epoch,stratigraphy
14.181,19,8.1165175073,7.7453685369,7.3931937695,7.6035867715,7.8319401636,8.0237456961,punctuated,Epoch,stratigraphy
14.181,19,8.1247631905,7.7747865271,7.3375638031,7.6356087301,7.851411115,7.9850798964,gradual,Epoch,stratigraphy
86.96 - 76.09,39,8.1170597323,7.9344647935,7.7552993714,7.8751776918,7.9657623426,8.0525578798,equalbins,Epoch,duration
70.655,37,8.207497641,7.9973636698,7.8014607243,7.9306297765,8.0421748303,8.1276310134,acctran,Epoch,duration
70.655,37,8.207497641,7.9895297618,7.7869693786,7.9493101216,8.0321886805,8.1012286946,deltran,Epoch,duration
70.655,37,8.207497641,8.0023409183,7.8638864807,7.9423970925,8.044280001,8.1275009621,random,Epoch,duration
70.655,37,8.207497641,7.9928959696,7.8586982596,7.9460790753,8.0390659277,8.0921147545,proximity,Epoch,duration
70.655,40,7.953852703,7.7616685142,7.5921910205,7.7193064367,7.8119908916,7.9117942784,punctuated,Epoch,duration
70.655,40,7.9724138121,7.7624062279,7.5885567896,7.707651589,7.814452923,7.9339729764,gradual,Epoch,duration
97.8425142857143 - 78.2740114285714,44,8.0839140488,7.8988836338,7.7321069482,7.8555589943,7.942641247,8.0242017829,equalbins,Epoch,number
68.48976,39,8.2146051589,8.0057366361,7.8612357018,7.959459862,8.0477475833,8.115831019,acctran,Epoch,number
68.48976,39,8.2146051589,7.9983233636,7.8425081119,7.9499604086,8.0531618132,8.1315299017,deltran,Epoch,number
68.48976,39,8.2146051589,7.9985232579,7.8396932663,7.9553882537,8.0529508655,8.1060838629,random,Epoch,number
68.48976,39,8.2146051589,8.0126979833,7.8948331253,7.9661954396,8.0659254693,8.1339192071,proximity,Epoch,number
68.48976,43,8.0180563371,7.8225487887,7.6588557262,7.7656736368,7.8822898444,7.974810084,punctuated,Epoch,number
68.48976,43,7.9982109973,7.8168060383,7.5595337633,7.7734542708,7.8648242689,7.9491773237,gradual,Epoch,number
