subsets,n,obs,bs.median,2.5%,25%,75%,97.5%,model,stratigraphy,bin_type
83.6 - 72.1,72,8.2167988651,8.1137095747,7.9862489102,8.0708704017,8.1567390352,8.2351435903,equalbins,Age,stratigraphy
0.00585,2,9.0050610526,9.0050610526,0,0,9.0050610526,9.0050610526,acctran,Age,stratigraphy
25.565,43,8.3651906069,8.1848891771,7.9902039379,8.129908991,8.2413746981,8.3232027487,deltran,Age,stratigraphy
25.565,43,8.3651906069,8.1866875234,7.9945046607,8.125642002,8.230386898,8.3076512731,random,Age,stratigraphy
25.565,43,8.3651906069,8.1755146909,8.0136196108,8.0962916761,8.2093097348,8.2824590468,proximity,Age,stratigraphy
0.00585,2,9.0050610526,9.0050610526,0,0,9.0050610526,9.0050610526,equal.split,Age,stratigraphy
25.565,43,8.3088612418,8.1252842666,7.9703624365,8.0525743989,8.1751495685,8.2585011838,gradual.split,Age,stratigraphy
72.6000000000001 - 69.3000000000001,51,8.2271513904,8.0649554506,7.9141494231,8.003463738,8.0949909745,8.1885103941,equalbins,Age,duration
28.05,42,8.3698045602,8.1862396136,7.9954032896,8.1434344949,8.2397937227,8.3120721715,acctran,Age,duration
28.05,42,8.3698045602,8.17864222,8.0339362615,8.1318142789,8.2259354229,8.3035198522,deltran,Age,duration
28.05,42,8.3698045602,8.170929217,8.0070938798,8.1155316597,8.2037164965,8.2972098456,random,Age,duration
28.05,42,8.3698045602,8.1747400197,8.0012575856,8.1132054686,8.2209761848,8.3095579985,proximity,Age,duration
24.75,44,8.306311163,8.1181696088,7.9677803123,8.0850351089,8.1675866255,8.2328614304,equal.split,Age,duration
24.75,44,8.3073024088,8.1132117286,7.9334765869,8.0628609319,8.170158875,8.2613446963,gradual.split,Age,duration
72.5068928571429 - 68.8815482142857,51,8.2271513904,8.0529508486,7.95074159,8.0183677213,8.0886315113,8.1825332402,equalbins,Age,number
26.3173166666667,44,8.3614187975,8.1817117634,8.0255106138,8.1305350896,8.2309152055,8.3034273043,acctran,Age,number
26.3173166666667,44,8.3614187975,8.1575500625,8.0305441386,8.1244245839,8.2092459026,8.2816002151,deltran,Age,number
26.3173166666667,44,8.3614187975,8.179205469,7.9988445588,8.1337855653,8.2193105325,8.2793188882,random,Age,number
26.3173166666667,44,8.3614187975,8.1743726536,8.0641929243,8.1288283597,8.2326913772,8.2909771353,proximity,Age,number
22.5577,44,8.2874792495,8.1225182811,7.9496770887,8.0499817887,8.165731839,8.2383036475,equal.split,Age,number
22.5577,44,8.3075272288,8.1292027302,7.9527997206,8.0792462932,8.1812855694,8.2506321489,gradual.split,Age,number
100.5 - 66,121,7.9861862195,7.9181400336,7.8165367483,7.8755491144,7.9474521298,8.0208856282,equalbins,Epoch,stratigraphy
28.465,42,8.3698045602,8.1797392388,8.0151270505,8.1227674864,8.2265713293,8.2892723645,acctran,Epoch,stratigraphy
28.465,42,8.3698045602,8.1789220964,8.0319540379,8.1217801393,8.2396468656,8.2954740186,deltran,Epoch,stratigraphy
28.465,42,8.3698045602,8.1704252302,8.0429296656,8.1347341729,8.2365531894,8.313548732,random,Epoch,stratigraphy
28.465,42,8.3698045602,8.1905932177,7.9875850349,8.1294502005,8.2375637893,8.3089216058,proximity,Epoch,stratigraphy
28.465,42,8.2914546257,8.0980668259,7.9304975248,8.0497680945,8.1595966713,8.2587748063,equal.split,Epoch,stratigraphy
28.465,42,8.2921775598,8.1208171444,7.9300925119,8.062569765,8.1698445507,8.2567957663,gradual.split,Epoch,stratigraphy
76.09 - 65.22,62,8.1805418137,8.0495687064,7.9262284035,8.0076683924,8.084853959,8.1625587036,equalbins,Epoch,duration
27.175,42,8.3698045602,8.1772190054,7.9433971548,8.1079911051,8.2252752819,8.2980245756,acctran,Epoch,duration
27.175,42,8.3698045602,8.1699315302,7.9720844261,8.1252825278,8.2275172294,8.2973384142,deltran,Epoch,duration
27.175,42,8.3698045602,8.1851495911,8.0170837987,8.103790165,8.2356732293,8.3070170793,random,Epoch,duration
27.175,42,8.3698045602,8.1677787323,8.0031455847,8.1143727966,8.2128702543,8.291624499,proximity,Epoch,duration
27.175,42,8.2818350403,8.1042264329,7.9383796848,8.0474374365,8.1484254585,8.221236173,equal.split,Epoch,duration
27.175,42,8.2929244166,8.1092880175,7.9400035443,8.0513517688,8.1501976717,8.2234553747,gradual.split,Epoch,duration
87.0082714285714 - 72.5068928571429,62,8.1297776271,8.0013743788,7.8492821207,7.9442641219,8.0409582827,8.1187558419,equalbins,Epoch,number
33.83655,39,8.3396366183,8.1159101183,7.954334147,8.0415720682,8.1665765006,8.2764596218,acctran,Epoch,number
33.83655,39,8.3396366183,8.1302345789,7.9695441914,8.0806591231,8.1690016745,8.2502669833,deltran,Epoch,number
33.83655,39,8.3396366183,8.124760418,7.9321601521,8.059045011,8.1823345753,8.2724292636,random,Epoch,number
33.83655,39,8.3396366183,8.1430975107,7.9298232929,8.0693865562,8.1932716138,8.2852647642,proximity,Epoch,number
16.918275,39,8.2609883307,8.0312516761,7.915254231,7.9931020617,8.0943906659,8.1702856017,equal.split,Epoch,number
16.918275,39,8.2569017265,8.0496550795,7.8828371035,8.0077434337,8.1135843899,8.1743232978,gradual.split,Epoch,number
