subsets,n,obs,bs.median,2.5%,25%,75%,97.5%,model,stratigraphy,bin_type
86.3 - 83.6,34,8.2083628453,7.9850813147,7.8167137535,7.9163798464,8.031533325,8.1016122947,equalbins,Age,stratigraphy
77.85,26,8.2160402054,7.9256233519,7.6733703485,7.8562890358,7.9753596745,8.0883417611,acctran,Age,stratigraphy
69.05,20,8.2839997842,7.8937887862,7.5557315446,7.8105291544,7.9785862636,8.1427499811,deltran,Age,stratigraphy
77.85,26,8.1480696284,7.8723120745,7.606886179,7.7754183436,7.9249044928,8.0152716386,random,Age,stratigraphy
69.05,20,8.2839997842,7.8882055301,7.4339375613,7.7353105175,7.9807995108,8.1120977392,proximity,Age,stratigraphy
69.05,22,8.1994232515,7.8285496303,7.4416073063,7.7106066646,7.9325149363,8.0564788253,equal.split,Age,stratigraphy
69.05,22,8.1994232515,7.8518770509,7.6045606272,7.7830146035,7.9185080831,8.0778707323,gradual.split,Age,stratigraphy
86.8000000000001 - 81.6000000000001,36,8.1859275952,7.9477064188,7.7571964904,7.8884294296,8.0151884207,8.1028926987,equalbins,Age,duration
68.6,20,8.2839997842,7.923565253,7.5192430068,7.8031107185,7.9922779235,8.1059371311,acctran,Age,duration
68.6,20,8.2839997842,7.8901302058,7.5063358194,7.7996119079,7.9914325772,8.1002970777,deltran,Age,duration
68.6,20,8.2839997842,7.8745644221,7.5727382928,7.7655915346,7.9827488879,8.0803689353,random,Age,duration
68.6,20,8.2839997842,7.8822725524,7.4753053438,7.7882408394,7.9771642904,8.0672974185,proximity,Age,duration
73.8,29,8.1525709547,7.8649975542,7.606422192,7.7871219196,7.929437056,8.0255729107,equal.split,Age,duration
73.8,29,8.1797883535,7.9053136663,7.6164269057,7.8347794544,7.958474125,8.0375046523,gradual.split,Age,duration
77.9192765217391 - 71.9596382608696,28,8.1688988546,7.9079801387,7.5779342488,7.8338312278,7.9571875272,8.0872937634,equalbins,Age,number
72.2305309090909,27,8.197308088,7.9156853759,7.6042009163,7.8289791279,7.9683412922,8.0724637801,acctran,Age,number
72.2305309090909,27,8.0956101011,7.8460513057,7.503661973,7.7298294578,7.8988935689,7.9752569036,deltran,Age,number
78.4610618181818,26,8.1858329112,7.902580958,7.70149147,7.8250719424,7.9461329164,8.0404959476,random,Age,number
72.2305309090909,27,8.1890466704,7.9189963215,7.6224127531,7.8123673166,7.9855082653,8.0662471199,proximity,Age,number
72.2305309090909,28,8.0876344543,7.8362857917,7.4273096689,7.7370736016,7.915513354,8.024562161,equal.split,Age,number
72.2305309090909,28,8.1474183268,7.861453471,7.5230898827,7.7754441864,7.9150451635,8.0286261228,gradual.split,Age,number
86.3 - 83.6,34,8.2083628453,7.9850813147,7.8167137535,7.9163798464,8.031533325,8.1016122947,equalbins,Epoch,stratigraphy
77.85,26,8.2160402054,7.9256233519,7.6733703485,7.8562890358,7.9753596745,8.0883417611,acctran,Epoch,stratigraphy
69.05,20,8.2839997842,7.8937887862,7.5557315446,7.8105291544,7.9785862636,8.1427499811,deltran,Epoch,stratigraphy
77.85,26,8.1480696284,7.8723120745,7.606886179,7.7754183436,7.9249044928,8.0152716386,random,Epoch,stratigraphy
69.05,20,8.2839997842,7.8882055301,7.4339375613,7.7353105175,7.9807995108,8.1120977392,proximity,Epoch,stratigraphy
69.05,22,8.1994232515,7.8285496303,7.4416073063,7.7106066646,7.9325149363,8.0564788253,equal.split,Epoch,stratigraphy
69.05,22,8.1994232515,7.8518770509,7.6045606272,7.7830146035,7.9185080831,8.0778707323,gradual.split,Epoch,stratigraphy
86.8000000000001 - 81.6000000000001,36,8.1859275952,7.9477064188,7.7571964904,7.8884294296,8.0151884207,8.1028926987,equalbins,Epoch,duration
68.6,20,8.2839997842,7.923565253,7.5192430068,7.8031107185,7.9922779235,8.1059371311,acctran,Epoch,duration
68.6,20,8.2839997842,7.8901302058,7.5063358194,7.7996119079,7.9914325772,8.1002970777,deltran,Epoch,duration
68.6,20,8.2839997842,7.8745644221,7.5727382928,7.7655915346,7.9827488879,8.0803689353,random,Epoch,duration
68.6,20,8.2839997842,7.8822725524,7.4753053438,7.7882408394,7.9771642904,8.0672974185,proximity,Epoch,duration
73.8,29,8.1525709547,7.8649975542,7.606422192,7.7871219196,7.929437056,8.0255729107,equal.split,Epoch,duration
73.8,29,8.1797883535,7.9053136663,7.6164269057,7.8347794544,7.958474125,8.0375046523,gradual.split,Epoch,duration
77.9192765217391 - 71.9596382608696,28,8.1688988546,7.9079801387,7.5779342488,7.8338312278,7.9571875272,8.0872937634,equalbins,Epoch,number
72.2305309090909,27,8.197308088,7.9156853759,7.6042009163,7.8289791279,7.9683412922,8.0724637801,acctran,Epoch,number
72.2305309090909,27,8.0956101011,7.8460513057,7.503661973,7.7298294578,7.8988935689,7.9752569036,deltran,Epoch,number
78.4610618181818,26,8.1858329112,7.902580958,7.70149147,7.8250719424,7.9461329164,8.0404959476,random,Epoch,number
72.2305309090909,27,8.1890466704,7.9189963215,7.6224127531,7.8123673166,7.9855082653,8.0662471199,proximity,Epoch,number
72.2305309090909,28,8.0876344543,7.8362857917,7.4273096689,7.7370736016,7.915513354,8.024562161,equal.split,Epoch,number
72.2305309090909,28,8.1474183268,7.861453471,7.5230898827,7.7754441864,7.9150451635,8.0286261228,gradual.split,Epoch,number
