subsets,n,obs,bs.median,2.5%,25%,75%,97.5%,model,stratigraphy,bin_type
33.9 - 28.1,2,37.4557586591,37.4557586591,0,0,37.4557586591,37.4557586591,equalbins,Age,stratigraphy
51.9,29,36.272591343,35.1297241384,34.0972959759,34.7703374891,35.3995978902,35.7107524467,acctran,Age,stratigraphy
77.85,30,34.5078310496,33.463192896,32.469264971,33.2195907078,33.6226830265,33.9938409225,deltran,Age,stratigraphy
69.05,37,34.9698263664,34.0085197559,33.0208568896,33.693843696,34.2143079937,34.6499893581,random,Age,stratigraphy
18.205,15,36.6418110221,34.4181088177,31.9335417605,33.6415559005,34.7218756517,35.6404095042,proximity,Age,stratigraphy
77.85,43,34.9750250625,34.0712252779,33.3256940704,33.7957245295,34.2934070384,34.5444345662,equal.split,Age,stratigraphy
1.2905,14,36.5817299661,34.18523782,31.5737035303,33.2874150105,34.6518632933,35.368380251,gradual.split,Age,stratigraphy
33.3 - 29.6,2,37.4557586591,37.4557586591,0,0,37.4557586591,37.4557586591,equalbins,Age,duration
38.85,24,36.8223803249,35.330093589,34.345100194,35.0539041504,35.6237163328,35.9812315022,acctran,Age,duration
68.45,30,34.1800852967,33.1024481713,32.167413257,32.8456555984,33.3048929248,33.7677827064,deltran,Age,duration
68.45,40,35.0960046031,34.2717275275,33.6856468822,34.0964158624,34.424111334,34.8180520648,random,Age,duration
16.65,15,36.6418110221,34.1886662606,32.1735333699,33.4617276976,34.6784047981,35.5909422097,proximity,Age,duration
68.45,45,34.4261051504,34.0488208682,33.3883352455,33.8280747198,34.2449385482,34.5587652103,equal.split,Age,duration
1.85,14,36.5817299661,34.0034882652,31.6302687281,33.3941956806,34.4972218914,35.3930500509,gradual.split,Age,duration
46.296327 - 42.08757,2,36.1448853653,36.1448853653,0,0,36.1448853653,36.1448853653,equalbins,Age,number
38.8500646153846,24,36.8223803249,35.3882481516,33.8746042735,35.0395576887,35.5859769608,35.8540650163,acctran,Age,number
0,14,36.5817299661,34.3219065917,31.1534855999,33.3356632683,34.7220241287,35.5212385524,deltran,Age,number
0,14,36.5817299661,34.1619784132,31.7080237784,33.3804483346,34.6921790075,35.4357068268,random,Age,number
17.2666953846154,15,36.6418110221,34.3045834564,32.4797100851,33.6875976844,34.8654980051,35.5086620483,proximity,Age,number
69.0667815384615,48,34.6552818855,34.1353950371,33.422097596,33.8641519328,34.3208756832,34.6666819437,equal.split,Age,number
0,14,36.5817299661,34.1172823649,31.3486333157,33.3806864179,34.7649539048,35.6574978541,gradual.split,Age,number
33.9 - 28.1,2,37.4557586591,37.4557586591,0,0,37.4557586591,37.4557586591,equalbins,Epoch,stratigraphy
51.9,29,36.272591343,35.1297241384,34.0972959759,34.7703374891,35.3995978902,35.7107524467,acctran,Epoch,stratigraphy
77.85,30,34.5078310496,33.463192896,32.469264971,33.2195907078,33.6226830265,33.9938409225,deltran,Epoch,stratigraphy
69.05,37,34.9698263664,34.0085197559,33.0208568896,33.693843696,34.2143079937,34.6499893581,random,Epoch,stratigraphy
18.205,15,36.6418110221,34.4181088177,31.9335417605,33.6415559005,34.7218756517,35.6404095042,proximity,Epoch,stratigraphy
77.85,43,34.9750250625,34.0712252779,33.3256940704,33.7957245295,34.2934070384,34.5444345662,equal.split,Epoch,stratigraphy
1.2905,14,36.5817299661,34.18523782,31.5737035303,33.2874150105,34.6518632933,35.368380251,gradual.split,Epoch,stratigraphy
33.3 - 29.6,2,37.4557586591,37.4557586591,0,0,37.4557586591,37.4557586591,equalbins,Epoch,duration
38.85,24,36.8223803249,35.330093589,34.345100194,35.0539041504,35.6237163328,35.9812315022,acctran,Epoch,duration
68.45,30,34.1800852967,33.1024481713,32.167413257,32.8456555984,33.3048929248,33.7677827064,deltran,Epoch,duration
68.45,40,35.0960046031,34.2717275275,33.6856468822,34.0964158624,34.424111334,34.8180520648,random,Epoch,duration
16.65,15,36.6418110221,34.1886662606,32.1735333699,33.4617276976,34.6784047981,35.5909422097,proximity,Epoch,duration
68.45,45,34.4261051504,34.0488208682,33.3883352455,33.8280747198,34.2449385482,34.5587652103,equal.split,Epoch,duration
1.85,14,36.5817299661,34.0034882652,31.6302687281,33.3941956806,34.4972218914,35.3930500509,gradual.split,Epoch,duration
46.296327 - 42.08757,2,36.1448853653,36.1448853653,0,0,36.1448853653,36.1448853653,equalbins,Epoch,number
38.8500646153846,24,36.8223803249,35.3882481516,33.8746042735,35.0395576887,35.5859769608,35.8540650163,acctran,Epoch,number
0,14,36.5817299661,34.3219065917,31.1534855999,33.3356632683,34.7220241287,35.5212385524,deltran,Epoch,number
0,14,36.5817299661,34.1619784132,31.7080237784,33.3804483346,34.6921790075,35.4357068268,random,Epoch,number
17.2666953846154,15,36.6418110221,34.3045834564,32.4797100851,33.6875976844,34.8654980051,35.5086620483,proximity,Epoch,number
69.0667815384615,48,34.6552818855,34.1353950371,33.422097596,33.8641519328,34.3208756832,34.6666819437,equal.split,Epoch,number
0,14,36.5817299661,34.1172823649,31.3486333157,33.3806864179,34.7649539048,35.6574978541,gradual.split,Epoch,number
