subsets,n,obs,bs.median,2.5%,25%,75%,97.5%,model,stratigraphy,bin_type
83.6 - 72.1,66,8.3146617743,8.1883539856,8.0832588808,8.1497884517,8.2277589155,8.2924853145,equalbins,Age,stratigraphy
84.95,51,8.3336076837,8.1719178159,8.0379058734,8.1164048662,8.2002700224,8.2616267611,acctran,Age,stratigraphy
69.05,25,8.2612085746,7.963768016,7.6947541543,7.8591492198,8.0420394691,8.1219237627,deltran,Age,stratigraphy
77.85,45,8.1970885598,8.0312922759,7.8829070406,7.9730712002,8.072686003,8.1455297086,random,Age,stratigraphy
84.95,47,8.2571790211,8.0908069184,7.9448356072,8.0446691804,8.1296391641,8.1896637294,proximity,Age,stratigraphy
84.95,55,8.1806785156,7.9999321126,7.8400569798,7.9505922543,8.0470245064,8.165857991,equal.split,Age,stratigraphy
84.95,55,8.205444703,8.0254271699,7.852785049,7.9730015822,8.0879493634,8.1540669301,gradual.split,Age,stratigraphy
76.4 - 71.2,53,8.3044623443,8.1488689611,8.0476121675,8.1071866661,8.1775651089,8.239836995,equalbins,Age,duration
84.2000000000001,52,8.3259603393,8.1650913215,8.0405948335,8.1234968855,8.2109190084,8.2749905716,acctran,Age,duration
73.8,44,8.1483277106,7.9712730288,7.8066650702,7.9320810877,8.0160630364,8.0948447722,deltran,Age,duration
73.8,45,8.2312687877,8.056654159,7.912727753,7.9991422972,8.0839222267,8.1578423842,random,Age,duration
73.8,44,8.3052617489,8.1275071592,7.9714844956,8.0752658049,8.1885529399,8.2482087744,proximity,Age,duration
89.4000000000001,56,8.1899226997,8.0149163359,7.858689879,7.9621624526,8.0589733512,8.1383377589,equal.split,Age,duration
73.8,55,8.1921955898,8.0592016351,7.9252303972,8.0136636109,8.1161038923,8.1668190929,gradual.split,Age,duration
77.8646647058823 - 71.9323323529412,53,8.2964972131,8.1429895771,8.0387382994,8.108064226,8.1706017815,8.2370358643,equalbins,Age,number
84.909309375,51,8.3336076837,8.1735107361,8.0283780047,8.1381539949,8.2058186502,8.2826997825,acctran,Age,number
72.303103125,43,8.1249138504,7.9422385305,7.7702323659,7.8870927005,7.9908008673,8.0330073922,deltran,Age,number
72.303103125,44,8.1847092048,8.0121331075,7.8010424909,7.9412418089,8.0528070504,8.1192354397,random,Age,number
72.303103125,44,8.2907909318,8.1177861878,7.9715103901,8.0502492353,8.1660385844,8.224725821,proximity,Age,number
84.909309375,55,8.1792724098,8.0085693057,7.8551873944,7.9413742705,8.0557696774,8.1472842703,equal.split,Age,number
72.303103125,48,8.2556398807,8.0632201215,7.9036275857,8.0277476575,8.096319163,8.1933667868,gradual.split,Age,number
83.6 - 72.1,66,8.3146617743,8.1883539856,8.0832588808,8.1497884517,8.2277589155,8.2924853145,equalbins,Epoch,stratigraphy
84.95,51,8.3336076837,8.1719178159,8.0379058734,8.1164048662,8.2002700224,8.2616267611,acctran,Epoch,stratigraphy
69.05,25,8.2612085746,7.963768016,7.6947541543,7.8591492198,8.0420394691,8.1219237627,deltran,Epoch,stratigraphy
77.85,45,8.1970885598,8.0312922759,7.8829070406,7.9730712002,8.072686003,8.1455297086,random,Epoch,stratigraphy
84.95,47,8.2571790211,8.0908069184,7.9448356072,8.0446691804,8.1296391641,8.1896637294,proximity,Epoch,stratigraphy
84.95,55,8.1806785156,7.9999321126,7.8400569798,7.9505922543,8.0470245064,8.165857991,equal.split,Epoch,stratigraphy
84.95,55,8.205444703,8.0254271699,7.852785049,7.9730015822,8.0879493634,8.1540669301,gradual.split,Epoch,stratigraphy
76.4 - 71.2,53,8.3044623443,8.1488689611,8.0476121675,8.1071866661,8.1775651089,8.239836995,equalbins,Epoch,duration
84.2000000000001,52,8.3259603393,8.1650913215,8.0405948335,8.1234968855,8.2109190084,8.2749905716,acctran,Epoch,duration
73.8,44,8.1483277106,7.9712730288,7.8066650702,7.9320810877,8.0160630364,8.0948447722,deltran,Epoch,duration
73.8,45,8.2312687877,8.056654159,7.912727753,7.9991422972,8.0839222267,8.1578423842,random,Epoch,duration
73.8,44,8.3052617489,8.1275071592,7.9714844956,8.0752658049,8.1885529399,8.2482087744,proximity,Epoch,duration
89.4000000000001,56,8.1899226997,8.0149163359,7.858689879,7.9621624526,8.0589733512,8.1383377589,equal.split,Epoch,duration
73.8,55,8.1921955898,8.0592016351,7.9252303972,8.0136636109,8.1161038923,8.1668190929,gradual.split,Epoch,duration
77.8646647058823 - 71.9323323529412,53,8.2964972131,8.1429895771,8.0387382994,8.108064226,8.1706017815,8.2370358643,equalbins,Epoch,number
84.909309375,51,8.3336076837,8.1735107361,8.0283780047,8.1381539949,8.2058186502,8.2826997825,acctran,Epoch,number
72.303103125,43,8.1249138504,7.9422385305,7.7702323659,7.8870927005,7.9908008673,8.0330073922,deltran,Epoch,number
72.303103125,44,8.1847092048,8.0121331075,7.8010424909,7.9412418089,8.0528070504,8.1192354397,random,Epoch,number
72.303103125,44,8.2907909318,8.1177861878,7.9715103901,8.0502492353,8.1660385844,8.224725821,proximity,Epoch,number
84.909309375,55,8.1792724098,8.0085693057,7.8551873944,7.9413742705,8.0557696774,8.1472842703,equal.split,Epoch,number
72.303103125,48,8.2556398807,8.0632201215,7.9036275857,8.0277476575,8.096319163,8.1933667868,gradual.split,Epoch,number
