subsets,n,obs,bs.median,2.5%,25%,75%,97.5%,model,stratigraphy,bin_type
382.7 - 372.2,5,1.8512636478,1.493973082,0.8907753852,1.3323705399,1.6694072996,1.8568687828,equalbins,Age,stratigraphy
473.85,3,1.7317648017,1.1806485692,0,0.9190094958,1.3638715385,1.7317648017,acctran,Age,stratigraphy
473.85,3,1.609998412,1.2158041844,0,0.7608401915,1.609998412,1.609998412,deltran,Age,stratigraphy
473.85,3,1.5889433048,1.0155246658,0,0.9190094958,1.2433524481,1.5889433048,random,Age,stratigraphy
473.85,3,1.609998412,1.2158041844,0,0.7608401915,1.2433524481,1.609998412,proximity,Age,stratigraphy
473.85,3,1.609998412,1.2295783163,0,0.9190094958,1.3638715385,1.7319632328,punctuated,Age,stratigraphy
473.85,3,1.5889433048,1.2433524481,0,1.1393675933,1.5889433048,1.7319632328,gradual,Age,stratigraphy
385.4 - 381,4,2.0656934675,1.649424896,0.5706301436,1.4694896434,1.8714147927,2.0656934675,equalbins,Age,duration
471.2,3,1.7317648017,1.1806485692,0,0.9190094958,1.3638715385,1.7317648017,acctran,Age,duration
374.4,2,1.1412602873,1.1412602873,0,0,1.1412602873,1.1412602873,deltran,Age,duration
444.8,3,1.775398725,1.3355795859,0,0.7608401915,1.4543776727,1.775398725,random,Age,duration
374.4,2,1.1412602873,0,0,0,1.1412602873,1.1412602873,proximity,Age,duration
374.4,3,1.4712977394,1.0702256602,0,0.7608401915,1.4131709149,1.9751128615,punctuated,Age,duration
374.4,3,1.4712977394,0.7608401915,0,0.7608401915,1.1115296271,1.9751128615,gradual,Age,duration
380.5824 - 375.8912,2,1.1412602873,0,0,0,1.1412602873,1.1412602873,equalbins,Age,number
376.138105263158,3,2.1010218669,1.4131709149,0,1.3400315201,1.4488412989,2.1010218669,acctran,Age,number
376.138105263158,2,1.1412602873,1.1412602873,0,0,1.1412602873,1.1412602873,deltran,Age,number
376.138105263158,3,1.4712977394,1.0702256602,0,0.7608401915,1.2014716552,1.4712977394,random,Age,number
376.138105263158,2,1.1412602873,1.1412602873,0,0,1.1412602873,1.1412602873,proximity,Age,number
376.138105263158,3,1.8359502766,1.0702256602,0,0.7608401915,1.3583163688,1.7343801273,punctuated,Age,number
376.138105263158,3,0.7608401915,0.7608401915,0,0,0.7608401915,0.9232675626,gradual,Age,number
443.8 - 433.4,16,2.0157125919,1.8913950371,1.7337394993,1.8295710573,1.9474328238,2.0291827734,equalbins,Epoch,stratigraphy
406.25,7,2.11496111,1.8602453174,1.3872192815,1.7441868488,1.952369867,2.1086778632,acctran,Epoch,stratigraphy
406.25,7,2.0316798114,1.7723779034,1.304709191,1.6423344533,1.8388036086,1.9400983609,deltran,Epoch,stratigraphy
388,7,2.1634185891,1.8411227012,1.421239253,1.7271219385,1.9575048805,2.0762460539,random,Epoch,stratigraphy
406.25,7,2.0240348095,1.8001660792,1.3702344162,1.6877032805,1.8967776781,1.9988412739,proximity,Epoch,stratigraphy
406.25,7,2.11496111,1.8057850265,1.4473563333,1.698792151,1.9135433019,2.0755398504,punctuated,Epoch,stratigraphy
406.25,7,2.0316798114,1.7783031477,1.3417936886,1.6633088226,1.864392266,1.9950082452,gradual,Epoch,stratigraphy
403.7 - 393.2,8,1.9661324812,1.7733217284,1.3806887322,1.6224046207,1.8449602527,1.944147937,equalbins,Epoch,duration
408.95,7,2.0240348095,1.7672214767,1.3578337804,1.6645648969,1.8643945954,1.9673846309,acctran,Epoch,duration
408.95,7,2.0240881275,1.7698339908,1.3777230884,1.6579316239,1.8472542885,1.9408072902,deltran,Epoch,duration
408.95,7,2.0138008246,1.7485296676,1.1636444002,1.5847901945,1.8427430826,1.9786723052,random,Epoch,duration
408.95,7,2.0316798114,1.7680790384,1.2754611371,1.6784027252,1.8610879157,1.9760447635,proximity,Epoch,duration
408.95,7,2.0240348095,1.7835527564,1.1750028774,1.6791812165,1.882103643,1.974243034,punctuated,Epoch,duration
408.95,7,2.0240881275,1.7530722831,1.3870302233,1.6378099587,1.8491199276,1.9585175567,gradual,Epoch,duration
406.384 - 394.656,7,1.960053426,1.685745635,1.2398987246,1.5657617591,1.7741939823,1.9203771317,equalbins,Epoch,number
371.2,3,2.1010218669,1.4131709149,0,1.3400315201,1.4488412989,2.1010218669,acctran,Epoch,number
371.2,3,2.1010218669,1.4131709149,0,1.3400315201,2.1010218669,2.1010218669,deltran,Epoch,number
371.2,3,2.1010218669,1.4310061069,0,1.3400315201,2.1010218669,2.1010218669,random,Epoch,number
371.2,3,2.1010218669,1.4131709149,0,1.3400315201,1.6118864409,2.1010218669,proximity,Epoch,number
371.2,3,2.1010218669,1.4131709149,0,1.3400315201,1.4488412989,2.1010218669,punctuated,Epoch,number
371.2,3,2.1010218669,1.4131709149,0,1.3400315201,2.1010218669,2.1010218669,gradual,Epoch,number
